Questions,Answer
How will my items be shipped?,Domestic (continental US): shipped via UPS Ground or USPS depending on order and location. International: must ship UPS due to the battery in the unit. Tracking information is emailed once the order is processed by the shipping department.
When will my order arrive?,Domestic: processed in 1–2 business days; transit typically 2–5 days depending on distance from the Ohio warehouse. Expedited orders still follow processing time; transit typically 1–2 days depending on option selected. Canada: a freight forward picks up 1–2 times/week; tracking becomes available 7–10 days after you receive tracking info; delivery is generally 2–3 weeks. International: duties are unpaid; transit can range 5–90 days depending on location; USPS tracking may not update after leaving the US until the destination country posts an update; delays are often customs-related and you may need to contact local customs.
How do I pay for my order?,"Payments are encrypted using SSL. NerveSpa does not accept cash or credit vouchers. They accept PayPal and credit cards: American Express, Discover, Mastercard, and Visa."
Why did my order fail?,"Verify card number, expiration date, security code, and that billing name/address exactly match the credit card statement. Authorization requires the billing address on file with the credit card company to match the billing address provided to NerveSpa. If multiple failed orders occur, funds may be placed on hold by your bank but should not clear; release timing is set by the issuing bank."
Do you charge sales tax?,Sales tax is collected on orders shipped within Ohio (on-screen totals reflect Ohio state tax). International taxes are not prepaid; any taxes on international shipments must be paid by the receiver.
Is my product under warranty?,"The NerveSpa device has a one-year warranty against manufacturer defects. It does not cover damage from drops, falls, misuse, or use contrary to instructions, nor normal wear and tear, abuse, or accidents. If an identical replacement isn’t available, a comparable color/style may be provided. Legal rights may vary by state."
How do I file a warranty claim?,"Complete the warranty submission form (https://nervespa.com/info). You may be asked to return the device for inspection/replacement; if so, securely package it and ship it to: NerveSpa, ATTN: Warranty Returns, 1760 Wadsworth Road, Akron, OH 44320. Include an explanation of the defect plus your daytime phone number, mailing address, and email address."
"I don't want this product, can I return my order?",Yes—30-day money-back guarantee for purchases ordered from NerveSpa.com (third-party sales are not refundable). Refund is the purchase amount minus shipping costs. Items must be returned in original packaging and in new or lightly used condition. Credits are issued to the original payment card once received. Exchanges are processed after the original item is received. NerveSpa isn’t responsible for returns/exchanges lost in transit; use a traceable shipping service.
How do I return my order?,"Call or email customer service to obtain a return authorization number. Include in the package: your name, daytime phone number, mailing address, email address, and the return authorization number. Ship via a traceable method to: NerveSpa, ATTN: Returns, 1760 Wadsworth Road, Akron, OH 44320."
How long to charge and how to maintain the battery?,"Charge for 16 hours on the first charge, then typically 8–10 hours thereafter. Because it uses a Li-ion battery: never let the battery go to zero, and charge periodically even if not used. With good maintenance, Li-ion batteries are typically good for 4–5 years before degrading."
How much water to add?,Typically fill about halfway with warm water so that the water is around or above your ankle when your feet are added.
Do the carbon rubber pads need replaced?,Typically no.
How often should I use the NerveSpa?,"Use consistently for the first 60–90 days to see targeted results (sessions build on one another). Recommended: once per day, 5–6 days per week. After 90 days, reduce to a maintenance schedule or use as needed."
What do the modes do?,"Classic models have modes A and B; Pro models have modes A, B, and C. Programs are designed to auto-run (A→B or A→C for Pro) and shut off after a 30-minute session. If you are not treating immediate symptomatic pain and want greater therapeutic outcome, you can skip A and use 30-minute sessions in B and C. A mode: micro/TENS (pain relief + therapeutic). B mode: micro/galvanic (therapeutic). B and C modes (Pro): micro/galvanic (therapeutic)."
Why is it recommended to rotate the pads from treatment to treatment?,"Because the waveform is monophasic, current enters through the active pad and exits through the ground pad; with feet in separate bays, the current loop travels up one leg and down the other, treating both feet. Rotating/swapping pads between bays from session to session alternates the entry/exit pathway so each foot is treated equally. The program also changes to biphasic at the halfway point to offload charge buildup in tissue. Pads should be submerged in the water (they do not need to touch the foot)."
Which light therapy device should I purchase?,"If you’re on a limited budget, the LED therapy wrap is recommended for broad surface coverage of the whole foot. For chronic/intense pain or a very specific spot (e.g., knee/back pain), the laser is more effective."
Can I use two LED therapy wraps at the same time?,Yes. The therapy wrap is designed to use a link cable so you can treat both feet at the same time without plugging into another outlet.
Will my insurance cover the NerveSpa?,Some insurance plans cover TENS devices. Check with your healthcare professional and/or insurance provider to confirm coverage.
