question,answer
What is NerveSpa?,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Who owns NerveSpa?,"NerveSpa is owned and distributed by Pain Management Technologies (PMT), an FDA-registered medical device establishment based in Akron, Ohio. PMT manufactures and distributes the full NerveSpa product family. https://www.paintechnology.com"
How do providers implement NerveSpa?,NerveSpa devices do not require a medical prescription. Licensed clinicians guide patients on correct use and integrate devices and supplements into their care plans.
What conditions can NerveSpa support?,"NerveSpa is used for peripheral neuropathy, diabetic neuropathy, chemotherapy-related neuropathy, plantar fasciitis, heel spurs, restless legs, circulation issues, numbness, tingling, burning, stiffness, balance concerns, cramps, cold feet, and joint-related discomfort such as knee and shoulder arthritis."
How can clinics order NerveSpa or request a demo?,"Clinics can open a provider account to order NerveSpa products or request demos. Starter kits and bundles are available. Patients cannot purchase devices directly but may obtain salts, garments, and accessories through approved channels."
What are NerveSpa’s pricing options?,NerveSpa devices are sold to clinics at wholesale pricing. Retail pricing applies to patient consumables such as salts and garments. Some devices may qualify for insurance coverage under HCPCS code E0720 depending on the plan.
Is NerveSpa FDA-registered?,Yes. NerveSpa devices are FDA-registered and manufactured in FDA-registered facilities. Registration confirms establishment and product listing; it does not represent FDA approval of medical claims.
Is NerveSpa covered by insurance?,"Coverage varies by plan. Some clinics bill eligible components under neuropathy programs, while others use cash-pay, HSA/FSA, or membership models. Patients should verify with their insurer."
What warranty and return policy does NerveSpa offer?,All devices include a one-year limited warranty covering manufacturing defects. Returns are accepted within 30 days if unused and undamaged. Providers should contact the seller for RMA instructions.
Where is NerveSpa manufactured?,"NerveSpa devices are manufactured in FDA-registered facilities from all over the world, with final distribution handled through PMT in Akron, Ohio."
How long has PMT been in business?,"PMT has been in business for over 25 years, supplying clinics nationwide with FDA-registered therapeutic technologies."
Where can FDA listings be verified?,Clinics can verify FDA establishment registrations and product listings through the FDA’s official database using PMT’s registration information.  View listings here: https://docs.google.com/spreadsheets/u/0/d/1qX86EUZUUwZKHMVHDy6IqY27pQankwW89ukJwa-F7G8/edit
What certifications does PMT hold?,"PMT maintains FDA establishment registration and manufactures products through FDA-registered facilities worldwide, ensuring compliance with federal manufacturing and distribution standards."
Does NerveSpa replace medical care?,"No. NerveSpa does not replace medical diagnosis or treatment. Providers determine appropriate use, recommend protocols, and guide patients throughout care."
Who decides if NerveSpa is appropriate?,"Licensed providers determine whether NerveSpa devices or supplements are suitable based on the patient’s condition, safety factors, and treatment goals."
Can NerveSpa be used with other treatments?,"Yes. Clinics commonly pair NerveSpa with chiropractic care, PT, metabolic programs, red light therapy, or other supportive modalities as part of a broader treatment plan."
How does NerveSpa compare to other nerve therapy systems?,"NerveSpa integrates multiple clinical-grade modalities—water-based stimulation, LED therapy, cold laser, vibration therapy, and supplementation—creating broader coverage than single-modality systems."
What makes NerveSpa unique?,"NerveSpa integrates multiple clinical-grade modalities into one family of products—water-based stimulation, high-powered LED wraps, cold laser, vibration therapy, targeted joint devices, and supplementation—offering broader coverage than single-modality systems."
How does the NerveSpa family of products work together?,"Each product plays a specific role across nerve, joint, and metabolic pathways. Clinics can combine devices and supplements to build customized, condition-specific programs that extend care between visits."
Can patients purchase NerveSpa directly?,"Patients cannot purchase full therapeutic systems directly. Devices are distributed through licensed clinics. Patients may reorder consumables such as salts, garments, and supplements through approved channels."
Are starter kits or bundles available for clinics?,Yes. Clinics may order starter kits or pathway-specific bundles depending on their patient population and protocols.
Are NerveSpa programs difficult to implement?,"Clinics typically integrate NerveSpa in one session. Devices are designed for ease of use, and providers oversee protocols while patients follow structured at-home routines."
How long is a typical NerveSpa program?,Most pathways follow a structured 60–90 day program with additional maintenance options depending on patient outcomes and provider guidance.
Is NerveSpa safe for most patients?,"NerveSpa devices are generally safe when used as directed under the guidance of a licensed provider. Providers screen for contraindications such as pacemakers, open wounds, pregnancy, or certain medical conditions depending on the device."
Does NerveSpa offer training for clinics?,"Yes. Clinics receive onboarding support, device training, and access to guides, protocols, and provider resources. Additional training is available as needed."
