Question,Answer
What is NerveSpa?,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Can you explain what NerveSpa?,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Could you describe what NerveSpa?,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Tell me about NerveSpa,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Explain NerveSpa to me,"NerveSpa is a family of clinical-grade products and programs designed to support neuropathy, joint pain, and metabolic health. It includes aquatic nerve stimulation, LED therapy, cold laser, vibration therapy, supplements, and topicals. All products are manufactured in FDA-registered facilities and distributed through licensed clinicians."
Who owns NerveSpa?,"NerveSpa is owned and distributed by Pain Management Technologies (PMT), an FDA-registered medical device establishment based in Akron, Ohio. PMT manufactures and distributes the full NerveSpa product family. https://www.paintechnology.com"
How do providers implement NerveSpa?,NerveSpa devices do not require a medical prescription. Licensed clinicians guide patients on correct use and integrate devices and supplements into their care plans.
What conditions can NerveSpa support?,"NerveSpa is used for peripheral neuropathy, diabetic neuropathy, chemotherapy-related neuropathy, plantar fasciitis, heel spurs, restless legs, circulation issues, numbness, tingling, burning, stiffness, balance concerns, cramps, cold feet, and joint-related discomfort such as knee and shoulder arthritis."
How can clinics order NerveSpa or request a demo?,"Clinics can open a provider account to order NerveSpa products or request demos. Starter kits and bundles are available. Patients cannot purchase devices directly but may obtain salts, garments, and accessories through approved channels."
What are NerveSpa\u2019s pricing options?,NerveSpa devices are sold to clinics at wholesale pricing. Retail pricing applies to patient consumables such as salts and garments. Some devices may qualify for insurance coverage under HCPCS code E0720 depending on the plan.
Is NerveSpa FDA-registered?,Yes. NerveSpa devices are FDA-registered and manufactured in FDA-registered facilities. Registration confirms establishment and product listing; it does not represent FDA approval of medical claims.
Is NerveSpa covered by insurance?,"Coverage varies by plan. Some clinics bill eligible components under neuropathy programs, while others use cash-pay, HSA/FSA, or membership models. Patients should verify with their insurer."
What warranty and return policy does NerveSpa offer?,All devices include a one-year limited warranty covering manufacturing defects. Returns are accepted within 30 days if unused and undamaged. Providers should contact the seller for RMA instructions.
Where is NerveSpa manufactured?,"NerveSpa devices are manufactured in FDA-registered facilities from all over the world, with final distribution handled through PMT in Akron, Ohio."
How long has PMT been in business?,"PMT has been in business for over 25 years, supplying clinics nationwide with FDA-registered therapeutic technologies."
Where can FDA listings be verified?,Clinics can verify FDA establishment registrations and product listings through the FDA\u2019s official database using PMT\u2019s registration information.  View listings here: https://docs.google.com/spreadsheets/u/0/d/1qX86EUZUUwZKHMVHDy6IqY27pQankwW89ukJwa-F7G8/edit
What certifications does PMT hold?,"PMT maintains FDA establishment registration and manufactures products through FDA-registered facilities worldwide, ensuring compliance with federal manufacturing and distribution standards."
Does NerveSpa replace medical care?,"No. NerveSpa does not replace medical diagnosis or treatment. Providers determine appropriate use, recommend protocols, and guide patients throughout care."
Who decides if NerveSpa is appropriate?,"Licensed providers determine whether NerveSpa devices or supplements are suitable based on the patient\u2019s condition, safety factors, and treatment goals."
Can NerveSpa be used with other treatments?,"Yes. Clinics commonly pair NerveSpa with chiropractic care, PT, metabolic programs, red light therapy, or other supportive modalities as part of a broader treatment plan."
Do I need a prescription for NerveSpa?,NerveSpa devices do not require a medical prescription. Licensed clinicians guide patients on correct use and integrate devices and supplements into their care plans.
Is NerveSpa a US based company?,"Yes. NerveSpa appears to be U.S.-based. Its official contact page lists a mailing address in Akron, Ohio, and the site identifies the brand as “NerveSpa by PMT.” NerveSpa’s legal pages also name Pain Management Technologies, Inc. d/b/a NerveSpa at 1760 Wadsworth Road, Akron, Ohio 44320."
How does NerveSpa compare to other nerve therapy systems?,"NerveSpa integrates multiple clinical-grade modalities\u2014water-based stimulation, LED therapy, cold laser, vibration therapy, and supplementation\u2014creating broader coverage than single-modality systems."
What makes NerveSpa unique?,"NerveSpa integrates multiple clinical-grade modalities into one family of products\u2014water-based stimulation, high-powered LED wraps, cold laser, vibration therapy, targeted joint devices, and supplementation\u2014offering broader coverage than single-modality systems."
How does the NerveSpa family of products work together?,"Each product plays a specific role across nerve, joint, and metabolic pathways. Clinics can combine devices and supplements to build customized, condition-specific programs that extend care between visits."
Can patients purchase NerveSpa directly?,"Patients cannot purchase full therapeutic systems directly. Devices are distributed through licensed clinics. Patients may reorder consumables such as salts, garments, and supplements through approved channels."
Are starter kits or bundles available for clinics?,Yes. Clinics may order starter kits or pathway-specific bundles depending on their patient population and protocols.
Are NerveSpa programs difficult to implement?,"Clinics typically integrate NerveSpa in one session. Devices are designed for ease of use, and providers oversee protocols while patients follow structured at-home routines."
How long is a typical NerveSpa program?,Most pathways follow a structured 60\u201390 day program with additional maintenance options depending on patient outcomes and provider guidance.
Is NerveSpa safe for most patients?,"NerveSpa devices are generally safe when used as directed under the guidance of a licensed provider. Providers screen for contraindications such as pacemakers, open wounds, pregnancy, or certain medical conditions depending on the device."
Does NerveSpa offer training for clinics?,"Yes. Clinics receive onboarding support, device training, and access to guides, protocols, and provider resources. Additional training is available as needed."
How do clinics contact NerveSpa for support?,"Clinics can contact NerveSpa by clicking \u2018Support\u2019 in this chatbot to submit a contact form, by emailing support@nervespa.com, or by calling 1-800-239-7880."
Does NerveSpa replace medical treatment?,No. NerveSpa does not replace medical diagnosis or treatment. Providers determine whether the products and protocols are appropriate and patients should follow professional guidance.
Who determines if a patient is a good candidate for NerveSpa?,"Licensed providers determine suitability based on symptoms, medical history, and contraindications for each device or supplement."
Does NerveSpa support insurance reimbursement?,"Insurance coverage varies by provider and plan. Some clinics bill eligible treatments under neuropathy programs. Others use cash-pay, HSA/FSA, or memberships."
What is HCPCS code E0720?,E0720 is a durable medical equipment (DME) billing code used by some clinics for certain types of neuromuscular stimulation. Coverage depends on the insurer and clinical documentation.
How quickly are products shipped?,Most orders ship within standard fulfillment timelines depending on inventory and clinic volume. Providers can contact their representative for order-specific updates.
Can NerveSpa be combined with in-clinic treatments?,"Yes. Many clinics layer NerveSpa with chiropractic, PT, neuropathy care, and joint mobility programs to support outcomes between visits."
What outcomes do patients commonly report?,"Patients often report reduced tingling, burning, and numbness; improved circulation; decreased stiffness; and better mobility or sleep depending on the product used. Outcomes vary by individual and consistency."
Can patients travel with NerveSpa devices?,"Most NerveSpa products are compact and travel-friendly. Patients should pack chargers, consumables, and any accessories, and follow provider instructions while away."
What is the NerveSpa Nerve Bath?,The NerveSpa Nerve Bath (Hand & Foot Neuropathy System) is a touch-screen aquatic electrotherapy device for hands or feet. Patients submerge their hands or feet in warm water with Epsom salt and effervescent tablets so the system can deliver circumferential nerve stimulation that supports circulation and nerve activity.
How does the NerveSpa Nerve Bath work?,"The system delivers comfortable low-frequency stimulation through a warm water bath. Patients place their hands or feet in the basins with Epsom salt and effervescent tablets, then the device runs a pre-programmed waveform to support circulation and nerve health. For a step-by-step overview, see the Quick Guide: https://drive.google.com/file/d/1ABWl8aU_hrvUSoRkmb3GoHl-rhbhTXIb/view?usp=sharing"
How should the NerveSpa Nerve Bath be set up?,"Connect the lead wires and electrodes, fill both sides with warm water, add 1 tablespoon of Epsom salt and 1 effervescent tablet per side, place hands or feet in the water, power on the unit, select Hands/Feet mode, and gradually increase intensity until you feel a mild, comfortable tingle. For visuals and full instructions, use the Quick Guide: https://drive.google.com/file/d/1ABWl8aU_hrvUSoRkmb3GoHl-rhbhTXIb/view?usp=sharing and the Full User Guide: https://drive.google.com/file/d/1IEghxBOy0alvw3U4V9CDd7D4eulpxcgs/view?usp=sharing"
How long is a typical NerveSpa Nerve Bath session?,"The default program runs for 30 minutes and the device will automatically shut off at the end of the session. After treatment, remove hands or feet and dry the skin thoroughly. Session timing is also outlined in the Quick Guide: https://drive.google.com/file/d/1ABWl8aU_hrvUSoRkmb3GoHl-rhbhTXIb/view?usp=sharing"
How often should the NerveSpa Nerve Bath be used?,"Typical clinic and home protocols use the system once daily, 4\u20136 days per week, for about 90 sessions total. After the initial program, many patients transition to periodic maintenance, often repeating a 90-session cycle once per year as needed. Details are included in the Full User Guide: https://drive.google.com/file/d/1IEghxBOy0alvw3U4V9CDd7D4eulpxcgs/view?usp=sharing"
Why water-based therapy for the NerveSpa Nerve Bath?,"Warm water allows full circumferential contact around the hands or feet, so current is distributed evenly rather than just through small pad areas. This helps improve comfort, consistency of stimulation, and engagement of more nerve endings compared to pad-only approaches."
